rep,t,b,pES,pFR,pPT,fFR,fPT,coal,peak,nuc,res,turb,shed,dem
5,45,47,29.558,24.68168139498719,29.558,-5652.894,-6190.981565301243,0.0,0.0,0.0,2484.1847339825,6940.97,0.0,27441.699423874954
5,45,48,29.558,24.68168139498719,29.558,-5652.894,-5265.609611502456,0.0,0.0,0.0,1204.5861789824999,6940.97,0.0,27733.059790484956
5,45,49,29.558,24.68168139498719,29.558,-5652.894,-4397.990262829512,0.0,0.0,0.0,1194.1045397399998,6940.97,0.0,24314.94428097083
5,45,50,29.558,24.68168139498719,29.558,-5652.894,-4153.0711423867,0.0,0.0,3211.9976462210634,1315.84001974,6940.97,0.0,21767.772808347763
5,45,51,29.558,24.68168139498719,29.558,-5652.894,-4072.346182842407,0.0,0.0,150.0951868769098,1270.18921474,6940.97,0.0,20010.438958407976
5,45,52,29.554096963896587,24.68168139498719,29.554096963896587,-5652.894,-6053.283689496751,0.0,0.0,0.0,2564.35854474,5882.834914145646,0.0,20646.371148382397
5,45,53,26.10507842,19.443872158,26.10507842,-5652.894,-10036.315765970638,0.0,0.0,0.0,9508.629274740002,0.0,0.0,25690.839040710638
5,45,54,25.597228,19.443872157999998,25.597228,-5652.894,-7653.612735686666,0.0,0.0,0.0,15561.008749740002,0.0,0.0,27973.112898605257
5,45,55,25.597228,19.443872157999998,25.597228,-5652.894,-9752.828415593362,0.0,0.0,0.0,18505.083284740005,0.0,0.0,27953.617064393013
5,45,56,25.597228,19.443872158,25.597228,-5652.894,-5539.816936128681,0.0,0.0,0.0,17352.155954740003,0.0,0.0,27254.69233260453
5,45,57,26.10507842,24.68168139498719,26.10507842,-5652.894,-7847.605533562248,0.0,0.0,0.0,12655.459709740002,0.0,0.0,26648.959243302248
5,45,58,29.558,24.68168139498719,29.558,-5652.894,-3645.3330802977334,0.0,0.0,3095.4533496161594,6249.285764740001,6940.97,0.0,26076.936194653892
5,45,59,29.558,24.68168139498719,29.558,-5652.894,-5569.555629905783,0.0,0.0,4274.005373926408,3919.311919739999,6940.97,0.0,27005.320089940637
5,45,60,29.558,24.68168139498719,29.558,-5652.894,-926.4119621842112,0.0,0.0,1113.998395657534,4009.2375147399994,6940.97,0.0,27312.511872581745
5,45,61,29.558,24.68168139498719,29.558,-5652.894,-3612.9242728247355,0.0,0.0,3897.221667439215,3628.7506235949995,6940.97,0.0,24225.760563858952
5,45,62,29.558,24.68168139498719,29.558,-5652.894,-1080.0956288578673,0.0,0.0,4145.493983226786,3157.0256385949992,6940.97,0.0,21469.479250679655
5,45,63,29.558,24.68168139498719,29.558,-5652.894,-1706.1863708064516,0.0,0.0,2020.1290929058619,2472.2635635949996,6940.97,0.0,19285.443027307316
5,45,64,29.554096963896587,-0.0,29.554096963896587,-5652.894,-3989.0191760278294,0.0,0.0,0.0,3535.184528595,4408.176295170574,0.0,18078.273999793404
5,45,65,25.593847970734444,-0.0,25.593847970734444,-5652.894,-5965.262883872698,0.0,0.0,0.0,12464.701348595005,0.0,0.0,20577.394169989366
5,45,66,-0.0,-0.0,-0.0,-5652.894,-5202.795976980908,0.0,0.0,0.0,20712.854283595003,0.0,0.0,23392.544260575913
5,45,67,12.828,-0.0,12.828,-5652.894,-5276.893028064623,0.0,0.0,0.0,20894.081488595002,0.0,0.0,23928.378324046746
5,45,68,25.593847970734444,-0.0,25.593847970734444,-5652.894,-6174.748025876339,0.0,0.0,0.0,18066.319143595003,0.0,0.0,23108.070879192554
5,45,69,29.554096963896587,-0.0,29.554096963896587,-5652.894,-4334.346498553967,0.0,0.0,0.0,11655.855613595002,9.333816069409295,0.0,22145.42992821838
5,45,70,29.554096963896587,-0.0,29.554096963896587,-5652.894,-2336.1375120301836,0.0,0.0,0.0,3631.7478885950004,5962.974370291826,0.0,22661.19354235267
5,45,71,29.554096963896587,-0.0,29.554096963896587,-5652.894,-6652.869137504227,0.0,0.0,0.0,1119.3323635949998,6940.97,0.0,24424.285059055313
5,45,72,29.554096963896587,-0.0,29.554096963896587,-5652.894,-10127.729654127943,0.0,0.0,0.0,904.9192585949999,0.0,0.0,25354.54291272294
5,45,73,29.554096963896587,-0.0,29.554096963896587,-5652.894,-8331.01193484449,0.0,0.0,0.0,859.5392329499999,0.0,0.0,22937.806707890417
5,45,74,29.554096963896587,-0.0,29.554096963896587,-5652.894,-7758.509674330567,0.0,0.0,0.0,996.4916479499999,5366.427701391348,0.0,20267.323023671914
5,45,75,29.554096963896587,-0.0,29.554096963896587,-5652.894,-7681.244557279331,0.0,0.0,0.0,1331.26421795,2953.5268565480983,0.0,18111.92963177743
5,45,76,12.828,-0.0,12.828,-5652.894,-6888.808923515174,0.0,0.0,0.0,3893.7009029500005,0.0,0.0,16712.394806998316
5,45,77,-0.0,-0.0,-0.0,-5652.894,-10714.208751950327,0.0,0.0,0.0,1658.6459149999996,0.0,0.0,18025.748666950327
5,45,78,-0.0,-0.0,-0.0,-5652.894,-12750.374559824928,0.0,0.0,0.0,10345.591634196824,0.0,0.0,20572.860194021752
5,45,79,-0.0,-0.0,-0.0,-5652.894,-8226.379259113455,0.0,0.0,0.0,16021.975829153187,0.0,0.0,21725.249088266643
5,45,80,-0.0,-0.0,-0.0,2799.2338552036626,-5398.106693751556,0.0,0.0,0.0,26678.890512949998,0.0,0.0,21101.763351497895
5,45,81,-0.0,-0.0,-0.0,5582.158091455479,-4308.334396463489,0.0,0.0,0.0,21368.65896795,0.0,0.0,20094.83527295801
5,45,82,-0.0,-0.0,-0.0,-5652.894,2305.1407842643075,0.0,0.0,0.0,12795.52710795,0.0,0.0,21032.528323685692
5,45,83,-0.0,-0.0,-0.0,-5652.894,-6584.334609659734,0.0,0.0,0.0,3045.196980696306,0.0,0.0,23458.425590356037
5,45,84,-0.0,-0.0,-0.0,-5652.894,-5535.88770595723,0.0,0.0,0.0,5607.222952949999,0.0,0.0,24972.004658907226
5,46,1,29.556381480227312,24.80576519155561,29.556381480227312,-5652.894,-8061.613158659941,0.0,0.0,0.0,3282.4515447549998,4816.68447386521,0.0,22306.64317728015
5,46,2,29.556381480227312,24.80576519155561,29.556381480227312,-5652.894,-7179.695772156696,0.0,0.0,0.0,2704.208014755,3947.1357980665944,0.0,19976.93358497829
5,46,3,29.556381480227312,24.83027028,29.556381480227312,-5652.894,-6504.646633861671,0.0,0.0,0.0,2323.784639755,3487.036030346423,0.0,18461.361303963095
5,46,4,29.556381480227312,0.0,29.556381480227312,-5652.894,-5532.660527303817,0.0,0.0,0.0,3890.240474755001,3980.606572856377,0.0,19549.401574915195
5,46,5,25.597228,0.0,25.597228,-5652.894,-7436.607109855265,0.0,0.0,0.0,11763.312554755003,0.0,0.0,25003.196596433256
5,46,6,25.597228,0.0,25.597228,-5652.894,-8440.872065427207,0.0,0.0,0.0,19348.961964755006,0.0,0.0,27760.528267776284
5,46,7,25.597228,0.0,25.597228,-5652.894,-4394.17232010035,0.0,0.0,0.0,21464.684244755004,0.0,0.0,27751.950816896726
5,46,8,25.597228,0.0,25.597228,-5652.894,-2341.268510725149,0.0,0.0,0.0,18915.03554475501,0.0,0.0,27068.89591865064
5,46,9,29.556381480227312,24.80576519155561,29.556381480227312,-5652.894,-4774.083546574815,0.0,0.0,0.0,12302.785354755002,3355.693674696209,0.0,26578.456576026027
5,46,10,29.558,24.80576519155561,29.558,-5652.894,-5573.672628466185,0.0,0.0,3107.688924725948,4419.838859755,6940.97,0.0,26188.064412947137
5,46,11,29.558,24.80576519155561,29.558,-5652.894,-6443.185991901418,0.0,0.0,1227.0317097111592,2142.5574347549996,6940.97,0.0,27480.72336013175
