date,hour,branch_id,branch_name,from_bus,to_bus,from_bus_id,to_bus_id,from_nuts3,to_nuts3,asset_class,reinforcement_eligible,diagnostic_multiplier,capacity_policy,base_line_rating_factor,flow_mw,flow_mvar,limit_mw,loading_pct
2025-06-28,18,1141,LTGES0752b,516,943,ES00519,ES00954,ES425,ES425,intra_nuts3,true,10.0,intra_diagnostic,0.8,24.01,0.0,7864.9,0.3
2025-06-27,17,1873,LTGES1228a,184,627,ES00187,ES00633,ES612,ES612,intra_nuts3,true,10.0,intra_diagnostic,0.8,-20.13,0.0,7864.9,0.3
2024-08-22,12,1723,LTGES1132b,182,627,ES00185,ES00633,ES612,ES612,intra_nuts3,true,10.0,intra_diagnostic,0.8,21.0,0.0,7864.9,0.3
2024-08-22,11,1508,LTGES0991a,1022,588,ES01036,ES00593,ES211,ES211,intra_nuts3,true,10.0,intra_diagnostic,0.8,-22.13,0.0,7864.9,0.3
2024-08-20,8,1647,LTGES1085b,613,501,ES00618,ES00504,ES617,ES617,intra_nuts3,true,10.0,intra_diagnostic,0.8,-20.79,0.0,7864.9,0.3
2024-08-22,14,2128,LTGES1412a,666,403,ES00673,ES00406,ES432,ES432,intra_nuts3,true,10.0,intra_diagnostic,0.8,73.01,0.0,28599.62,0.3
2024-08-20,11,1602,LTGES1054a,1052,140,ES01066,ES00143,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,-19.96,0.0,7864.9,0.3
2025-06-24,3,1913,LTGES1251b,1148,869,ES01168,ES00878,ES512,ES512,intra_nuts3,true,10.0,intra_diagnostic,0.8,-80.87,0.0,28599.62,0.3
2024-08-20,8,2204,TR_b44ed123,815,816,ES00824,ES00825,ES618,ES618,intra_nuts3,true,10.0,intra_diagnostic,0.8,-4.18,0.0,1600.0,0.3
2024-08-21,11,2116,LTGES1402,667,1225,ES00674,ES01248,ES432,ES432,intra_nuts3,true,10.0,intra_diagnostic,0.8,-10.29,0.0,3932.45,0.3
2025-06-29,13,1664,LTGES1096b,341,1160,ES00344,ES01180,ES615,ES615,intra_nuts3,true,10.0,intra_diagnostic,0.8,20.08,0.0,7864.9,0.3
2024-08-20,7,1255,LTGES0825,536,537,ES00541,ES00542,ES114,ES114,intra_nuts3,true,10.0,intra_diagnostic,0.8,-9.89,0.0,3932.45,0.3
2024-08-22,7,1462,LTGES0958a,580,568,ES00585,ES00573,ES213,ES213,intra_nuts3,true,10.0,intra_diagnostic,0.8,81.55,0.0,28599.62,0.3
2025-06-26,19,1069,LTGES0707b,499,176,ES00502,ES00179,ES617,ES617,intra_nuts3,true,10.0,intra_diagnostic,0.8,-72.36,0.0,28599.62,0.3
2024-08-20,9,555,LTGES0385a,335,821,ES00338,ES00830,ES618,ES618,intra_nuts3,true,10.0,intra_diagnostic,0.8,20.24,0.0,7864.9,0.3
2024-08-21,13,2004,LTGES1320b,421,1230,ES00424,ES01253,ES431,ES431,intra_nuts3,true,10.0,intra_diagnostic,0.8,-19.99,0.0,7864.9,0.3
2024-08-21,13,327,LTGES0229a,251,754,ES00254,ES00763,ES523,ES523,intra_nuts3,true,10.0,intra_diagnostic,0.8,8.63,0.0,2706.99,0.3
2024-08-22,14,2129,LTGES1412b,666,403,ES00673,ES00406,ES432,ES432,intra_nuts3,true,10.0,intra_diagnostic,0.8,73.01,0.0,28599.62,0.3
2024-08-20,19,2014,LTGES1327b,142,679,ES00145,ES00686,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,42.13,0.0,15729.79,0.3
2024-08-21,12,660,LTGES0457a,382,384,ES00385,ES00387,ES242,ES242,intra_nuts3,true,10.0,intra_diagnostic,0.8,-22.13,0.0,7864.9,0.3
2025-06-26,21,1835,LTGES1206b,1128,1129,ES01148,ES01149,ES422,ES422,intra_nuts3,true,10.0,intra_diagnostic,0.8,-76.01,0.0,28599.62,0.3
2025-06-26,19,1068,LTGES0707a,499,176,ES00502,ES00179,ES617,ES617,intra_nuts3,true,10.0,intra_diagnostic,0.8,-72.36,0.0,28599.62,0.3
2024-08-21,13,522,LTGES0362b,807,325,ES00816,ES00328,ES431,ES431,intra_nuts3,true,10.0,intra_diagnostic,0.8,31.14,0.0,11797.34,0.3
2024-08-20,8,1039,LTGES0686,919,488,ES00930,ES00491,ES425,ES425,intra_nuts3,true,10.0,intra_diagnostic,0.8,-10.06,0.0,3932.45,0.3
2024-08-22,19,1205,LTGES0794a,184,182,ES00187,ES00185,ES612,ES612,intra_nuts3,true,10.0,intra_diagnostic,0.8,19.78,0.0,7864.9,0.3
2024-08-20,9,556,LTGES0385b,335,821,ES00338,ES00830,ES618,ES618,intra_nuts3,true,10.0,intra_diagnostic,0.8,20.24,0.0,7864.9,0.3
2024-08-21,12,661,LTGES0457b,382,384,ES00385,ES00387,ES242,ES242,intra_nuts3,true,10.0,intra_diagnostic,0.8,-22.13,0.0,7864.9,0.3
