date,hour,country,bus_id,da_share_mw,redispatch_mw,delta_mw,lower_bound_mw,upper_bound_mw
2024-08-26,8,PT,ES00818,-347.629,-1429.981,-1082.352,-1429.981,0.0
2024-08-26,9,PT,ES00277,-2373.991,-2373.991,0.0,-11439.849,0.0
2024-08-26,9,FR,ES00859,-1402.418,-1402.418,0.0,-4629.981,0.0
2024-08-26,9,PT,ES00813,-81.606,-81.606,-0.0,-393.245,0.0
2024-08-26,9,PT,ES01092,-296.749,-296.749,0.0,-1429.981,0.0
2024-08-26,9,PT,ES00817,-296.749,-296.749,0.0,-1429.981,0.0
2024-08-26,9,FR,ES00742,-121.821,-121.821,-0.0,-402.182,0.0
2024-08-26,9,FR,ES01126,-693.025,-693.025,0.0,-2287.97,0.0
2024-08-26,9,FR,ES00981,-121.821,-121.821,-0.0,-402.182,0.0
2024-08-26,9,PT,ES00818,-296.749,-296.749,0.0,-1429.981,0.0
2024-08-26,17,PT,ES00277,-4378.53,-4378.53,0.0,-11439.849,0.0
2024-08-26,17,FR,ES00859,1029.891,1029.891,-0.0,0.0,4629.981
2024-08-26,17,PT,ES00813,-150.512,-150.512,-0.0,-393.245,0.0
2024-08-26,17,PT,ES01092,-547.316,-547.316,-0.0,-1429.981,0.0
2024-08-26,17,PT,ES00817,-547.316,-547.316,0.0,-1429.981,0.0
2024-08-26,17,FR,ES00742,89.461,89.461,0.0,0.0,402.182
2024-08-26,17,FR,ES01126,508.935,508.935,-0.0,0.0,2287.97
2024-08-26,17,FR,ES00981,89.461,89.461,0.0,0.0,402.182
2024-08-26,17,PT,ES00818,-547.316,-547.316,-0.0,-1429.981,0.0
2024-08-26,18,PT,ES00277,-1412.576,-1387.995,24.581,-11439.849,0.0
2024-08-26,18,FR,ES00859,2953.863,2126.735,-827.128,0.0,4629.981
2024-08-26,18,PT,ES00813,-48.557,-36.124,12.433,-393.245,0.0
2024-08-26,18,PT,ES01092,-176.572,-190.858,-14.286,-1429.981,0.0
2024-08-26,18,PT,ES00817,-176.572,-185.964,-9.392,-1429.981,0.0
2024-08-26,18,FR,ES00742,256.587,402.182,145.596,0.0,402.182
2024-08-26,18,FR,ES01126,1459.693,1995.629,535.937,0.0,2287.97
2024-08-26,18,FR,ES00981,256.587,402.182,145.596,0.0,402.182
2024-08-26,18,PT,ES00818,-176.572,-189.908,-13.336,-1429.981,0.0
2024-08-26,22,PT,ES00277,-1664.746,-0.0,1664.746,-11439.849,0.0
2024-08-26,22,FR,ES00859,3860.39,3346.385,-514.005,0.0,4629.981
2024-08-26,22,PT,ES00813,-57.226,-0.0,57.226,-393.245,0.0
2024-08-26,22,PT,ES01092,-208.093,-1429.981,-1221.888,-1429.981,0.0
2024-08-26,22,PT,ES00817,-208.093,-0.0,208.093,-1429.981,0.0
2024-08-26,22,FR,ES00742,335.332,402.182,66.85,0.0,402.182
2024-08-26,22,FR,ES01126,1907.665,2287.97,380.304,0.0,2287.97
