Source:_M:\Work\codes\Energy_vision_scenarios\data\EMPIRE\Data_handler_Trinity_EU\Transmission.xlsx_+_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2	Unnamed:_3
EU	France	1	17300.0
EU	France	2	19200.0
EU	France	3	19200.0
EU	France	4	19200.0
EU	France	5	19200.0
EU	France	6	19200.0
EU	France	7	19200.0
ES113	ES111	1	1513.0
ES113	ES111	2	1513.0
ES113	ES111	3	1513.0
ES113	ES111	4	1513.0
ES113	ES111	5	1513.0
ES113	ES111	6	1513.0
ES113	ES111	7	1513.0
ES422	ES432	1	2140.0
ES422	ES432	2	2140.0
ES422	ES432	3	2140.0
ES422	ES432	4	2140.0
ES422	ES432	5	2140.0
ES422	ES432	6	2140.0
ES422	ES432	7	2140.0
ES421	ES422	1	1970.0
ES421	ES422	2	1970.0
ES421	ES422	3	1970.0
ES421	ES422	4	1970.0
ES421	ES422	5	1970.0
ES421	ES422	6	1970.0
ES421	ES422	7	1970.0
ES242	ES523	1	2030.0
ES242	ES523	2	2030.0
ES242	ES523	3	2030.0
ES242	ES523	4	2030.0
ES242	ES523	5	2030.0
ES242	ES523	6	2030.0
ES242	ES523	7	2030.0
ES421	ES521	1	1440.0
ES421	ES521	2	1440.0
ES421	ES521	3	1440.0
ES421	ES521	4	1440.0
ES421	ES521	5	1440.0
ES421	ES521	6	1440.0
ES421	ES521	7	1440.0
ES618	ES422	1	1920.0
ES618	ES422	2	1920.0
ES618	ES422	3	1920.0
ES618	ES422	4	1920.0
ES618	ES422	5	1920.0
ES618	ES422	6	1920.0
ES618	ES422	7	1920.0
ES213	France	1	0.0
ES213	France	2	2000.0
ES213	France	3	2000.0
ES213	France	4	2000.0
ES213	France	5	2000.0
ES213	France	6	2000.0
ES213	France	7	2000.0
ES220	France	1	0.0
ES220	France	2	0.0
ES220	France	3	0.0
ES220	France	4	0.0
ES220	France	5	0.0
ES220	France	6	0.0
ES220	France	7	0.0
