date,hour,bus_id,vm_pu,va_deg
2024-07-08,0,ES00005,1.0266,-6.892
2024-07-08,0,ES01004,1.0303,2.077
2024-07-08,0,ES00199,1.0215,2.387
2024-07-08,0,ES00090,1.0347,-0.0
2024-07-08,0,ES00714,1.0232,1.232
2024-07-08,0,ES01008,1.03,8.779
2024-07-08,0,ES00407,1.03,9.546
2024-07-08,0,ES00751,1.0299,3.229
2024-07-08,0,ES01107,1.0248,-3.333
2024-07-08,0,ES00204,1.0242,8.143
2024-07-08,0,ES00314,1.0283,11.623
2024-07-08,0,ES00318,1.0281,14.327
2024-07-08,0,ES00451,1.0367,-7.489
2024-07-08,0,ES00464,1.0295,6.581
2024-07-08,0,ES00369,1.0258,3.867
2024-07-08,0,ES00766,1.0294,0.734
2024-07-08,0,ES00850,1.026,-0.767
2024-07-08,0,ES00663,1.0376,7.986
2024-07-08,0,ES01250,1.0282,6.062
2024-07-08,0,ES00071,1.0291,2.327
2024-07-08,0,ES00998,1.0275,-5.139
2024-07-08,0,ES01002,1.0286,0.616
2024-07-08,0,ES01011,1.0226,-1.219
2024-07-08,0,ES00945,1.0271,1.453
2024-07-08,0,ES00619,1.0295,0.15
2024-07-08,0,ES00740,1.03,5.099
2024-07-08,0,ES00269,1.0238,4.069
2024-07-08,0,ES00006,1.0456,4.053
2024-07-08,0,ES00444,1.0241,3.648
2024-07-08,0,ES00931,1.0219,-3.141
2024-07-08,0,ES01127,1.02,3.699
2024-07-08,0,ES00820,1.0239,3.907
2024-07-08,0,ES00813,1.0314,6.653
2024-07-08,0,ES00125,1.0242,7.421
2024-07-08,0,ES01226,1.031,4.104
2024-07-08,0,ES01187,1.0236,-3.433
2024-07-08,0,ES00476,1.0303,3.942
2024-07-08,0,ES00098,1.025,-1.491
2024-07-08,0,ES01196,1.03,5.948
2024-07-08,0,ES00907,1.0203,-1.065
2024-07-08,0,ES01131,1.023,-0.768
2024-07-08,0,ES00177,1.0292,1.345
2024-07-08,0,ES01208,1.0292,6.36
2024-07-08,0,ES00612,1.0264,0.981
2024-07-08,0,ES00961,1.0251,-2.235
2024-07-08,0,ES00340,1.0248,1.89
2024-07-08,0,ES00357,1.0275,2.122
2024-07-08,0,ES00097,1.0182,-3.697
2024-07-08,0,ES00833,1.0243,1.754
2024-07-08,0,ES00238,1.0273,3.129
2024-07-08,0,ES00137,1.031,1.792
2024-07-08,0,ES00857,1.0335,2.102
2024-07-08,0,ES00151,1.0249,-1.146
2024-07-08,0,ES00828,1.0252,2.086
2024-07-08,0,ES00196,1.0289,3.195
2024-07-08,0,ES00521,1.0293,-6.363
2024-07-08,0,ES01082,1.0178,-4.414
2024-07-08,0,ES00511,1.0276,0.712
2024-07-08,0,ES01218,1.0316,6.474
2024-07-08,0,ES01042,1.03,24.139
2024-07-08,0,ES01126,1.0486,3.132
2024-07-08,0,ES00940,1.0282,6.075
2024-07-08,0,ES00635,1.0188,-4.677
2024-07-08,0,ES00780,1.0269,-1.076
2024-07-08,0,ES00381,1.0209,-2.014
2024-07-08,0,ES00116,1.03,1.23
2024-07-08,0,ES00379,1.03,1.84
2024-07-08,0,ES00244,1.0281,6.9
2024-07-08,0,ES00458,1.0297,3.412
2024-07-08,0,ES01136,1.0303,3.67
